,sub_cluster,words,cluster
335,Linens,napkin,(Super cluster 15: Parts of Dwellings)
336,Linens,pillowcase,(Super cluster 15: Parts of Dwellings)
337,Linens,sheet,(Super cluster 15: Parts of Dwellings)
338,Linens,tablecloth,(Super cluster 15: Parts of Dwellings)
,,mat,
,,quilt,
339,Furnishing and Decorations,banner,(Super cluster 15: Parts of Dwellings)
340,Furnishing and Decorations,carpet,(Super cluster 15: Parts of Dwellings)
341,Furnishing and Decorations,curtain,(Super cluster 15: Parts of Dwellings)
342,Furnishing and Decorations,rug,(Super cluster 15: Parts of Dwellings)
343,Furnishing and Decorations,vase,(Super cluster 15: Parts of Dwellings)
344,Things You Travel On,alley,(Super cluster 16: Vehicles and Transportation)
345,Things You Travel On,bridge,(Super cluster 16: Vehicles and Transportation)
346,Things You Travel On,driveway,(Super cluster 16: Vehicles and Transportation)
347,Things You Travel On,highway,(Super cluster 16: Vehicles and Transportation)
348,Things You Travel On,path,(Super cluster 16: Vehicles and Transportation)
,,way,
349,Things You Travel On,railroad,(Super cluster 16: Vehicles and Transportation)
350,Things You Travel On,road,(Super cluster 16: Vehicles and Transportation)
351,Things You Travel On,sidewalk,(Super cluster 16: Vehicles and Transportation)
352,Things You Travel On,street,(Super cluster 16: Vehicles and Transportation)
353,Things You Travel On,track,(Super cluster 16: Vehicles and Transportation)
354,Things You Travel On,trail,(Super cluster 16: Vehicles and Transportation)
355,Things You Travel On,avenue,(Super cluster 16: Vehicles and Transportation)
356,Things You Travel On,freeway,(Super cluster 16: Vehicles and Transportation)
357,Things You Travel On,mall,(Super cluster 16: Vehicles and Transportation)
358,Things You Travel On,racetrack,(Super cluster 16: Vehicles and Transportation)
359,Things You Travel On,ramp,(Super cluster 16: Vehicles and Transportation)
360,Things You Travel On,route,(Super cluster 16: Vehicles and Transportation)
361,Things You Travel On,tunnel,(Super cluster 16: Vehicles and Transportation)
362,Vehicles (Actions and Characteristics),cruise,(Super cluster 16: Vehicles and Transportation)
363,Vehicles (Actions and Characteristics),drive,(Super cluster 16: Vehicles and Transportation)
364,Vehicles (Actions and Characteristics),passenger,(Super cluster 16: Vehicles and Transportation)
365,Vehicles (Actions and Characteristics),ride,(Super cluster 16: Vehicles and Transportation)
